,0,1
0,Koeln,Aachen
1,Augsburg,Muenchen
2,Biele...,Muenster
3,Braun...,Magde...
4,Braun...,Hannover
5,Braun...,Biele...
6,Bremen,Breme...
7,Breme...,Flens...
8,Frank...,Darms...
9,Frank...,Koblenz
10,Karls...,Freiburg
11,Kassel,Fulda
12,Fulda,Frank...
13,Kassel,Giessen
14,Berlin,Greif...
15,Hannover,Bremen
16,Koblenz,Kaise...
17,Karls...,Mannheim
18,Karls...,Saarb...
19,Stutt...,Karls...
20,Braun...,Kassel
21,Muenchen,Kempten
22,Koblenz,Koeln
23,Koeln,Duess...
24,Magde...,Berlin
25,Olden...,Norden
26,Osnab...,Olden...
27,Hannover,Osnab...
28,Muenchen,Passau
29,Koblenz,Siegen
30,Koblenz,Trier
31,Stutt...,Ulm
32,Fulda,Wuerz...
33,Wuerz...,Stutt...
34,Wuerz...,Augsburg
