,0,1
0,Nuern...,Bayreuth
1,Hannover,Biele...
2,Braun...,Magde...
3,Braun...,Hamburg
4,Hannover,Braun...
5,Breme...,Bremen
6,Erfurt,Chemnitz
7,Frank...,Darms...
8,Dortmund,Essen
9,Essen,Duess...
10,Erfurt,Dresden
11,Frank...,Koblenz
12,Karls...,Freiburg
13,Kassel,Fulda
14,Fulda,Frank...
15,Fulda,Giessen
16,Berlin,Greif...
17,Bremen,Hannover
18,Koblenz,Kaise...
19,Karls...,Mannheim
20,Karls...,Saarb...
21,Stutt...,Karls...
22,Kassel,Dortmund
23,Kassel,Erfurt
24,Braun...,Kassel
25,Muenchen,Kempten
26,Hamburg,Kiel
27,Koblenz,Koeln
28,Koeln,Duess...
29,Stutt...,Konstanz
30,Magde...,Berlin
31,Magde...,Leipzig
32,Magde...,Schwerin
33,Dortmund,Muenster
34,Wesel,Norden
35,Nuern...,Muenchen
36,Olden...,Wesel
37,Bremen,Olden...
38,Olden...,Osnab...
39,Muenchen,Passau
40,Muenchen,Regen...
41,Koblenz,Siegen
42,Koblenz,Trier
43,Stutt...,Ulm
44,Wesel,Aachen
45,Fulda,Wuerz...
46,Wuerz...,Stutt...
47,Wuerz...,Augsburg
48,Wuerz...,Nuern...
