,0,1
0,Muenchen,Augsburg
1,Nuern...,Bayreuth
2,Hannover,Biele...
3,Braun...,Magde...
4,Braun...,Hamburg
5,Hannover,Braun...
6,Erfurt,Chemnitz
7,Frank...,Darms...
8,Dortmund,Essen
9,Essen,Duess...
10,Erfurt,Leipzig
11,Erfurt,Dresden
12,Kiel,Flens...
13,Frank...,Koblenz
14,Karls...,Freiburg
15,Kassel,Fulda
16,Fulda,Frank...
17,Frank...,Giessen
18,Schwerin,Greif...
19,Hamburg,Schwerin
20,Bremen,Hannover
21,Karls...,Mannheim
22,Karls...,Kaise...
23,Karls...,Saarb...
24,Stutt...,Karls...
25,Kassel,Dortmund
26,Braun...,Kassel
27,Muenchen,Kempten
28,Kiel,Schwerin
29,Hamburg,Kiel
30,Koblenz,Koeln
31,Stutt...,Konstanz
32,Dortmund,Muenster
33,Nuern...,Muenchen
34,Hannover,Osnab...
35,Muenchen,Passau
36,Nuern...,Regen...
37,Schwerin,Berlin
38,Dortmund,Siegen
39,Trier,Aachen
40,Koblenz,Trier
41,Stutt...,Ulm
42,Wuerz...,Erfurt
43,Fulda,Wuerz...
44,Wuerz...,Stutt...
45,Wuerz...,Nuern...
