,0,1
0,Siegen,Biele...
1,Braun...,Magde...
2,Braun...,Hamburg
3,Braun...,Hannover
4,Bremen,Breme...
5,Chemnitz,Erfurt
6,Frank...,Darms...
7,Dortmund,Essen
8,Essen,Duess...
9,Erfurt,Leipzig
10,Kiel,Flens...
11,Koblenz,Frank...
12,Frank...,Koblenz
13,Karls...,Freiburg
14,Kassel,Fulda
15,Fulda,Frank...
16,Siegen,Giessen
17,Schwerin,Greif...
18,Hamburg,Schwerin
19,Hannover,Bremen
20,Koblenz,Kaise...
21,Karls...,Mannheim
22,Karls...,Saarb...
23,Stutt...,Karls...
24,Kassel,Dortmund
25,Erfurt,Kassel
26,Kassel,Braun...
27,Muenchen,Kempten
28,Hamburg,Kiel
29,Koblenz,Koeln
30,Stutt...,Konstanz
31,Dortmund,Muenster
32,Wesel,Norden
33,Nuern...,Muenchen
34,Bremen,Olden...
35,Hannover,Osnab...
36,Muenchen,Passau
37,Nuern...,Regen...
38,Schwerin,Berlin
39,Dortmund,Siegen
40,Koblenz,Siegen
41,Siegen,Koblenz
42,Koblenz,Trier
43,Stutt...,Ulm
44,Essen,Wesel
45,Wesel,Aachen
46,Erfurt,Wuerz...
47,Wuerz...,Stutt...
48,Wuerz...,Augsburg
49,Wuerz...,Nuern...
