,0,1
0,Nuern...,Bayreuth
1,Braun...,Hamburg
2,Braun...,Hannover
3,Braun...,Biele...
4,Bremen,Breme...
5,Dresden,Chemnitz
6,Frank...,Darms...
7,Dortmund,Essen
8,Essen,Duess...
9,Dresden,Erfurt
10,Kiel,Flens...
11,Frank...,Koblenz
12,Konstanz,Freiburg
13,Kassel,Giessen
14,Giessen,Frank...
15,Hannover,Bremen
16,Koblenz,Kaise...
17,Darms...,Kaise...
18,Kassel,Dortmund
19,Erfurt,Kassel
20,Kassel,Braun...
21,Konstanz,Kempten
22,Hamburg,Kiel
23,Duess...,Koeln
24,Stutt...,Konstanz
25,Darms...,Mannheim
26,Dortmund,Muenster
27,Wesel,Norden
28,Wesel,Olden...
29,Hannover,Osnab...
30,Regen...,Passau
31,Nuern...,Regen...
32,Kaise...,Saarb...
33,Trier,Saarb...
34,Dortmund,Siegen
35,Siegen,Koblenz
36,Koblenz,Trier
37,Essen,Wesel
38,Wesel,Aachen
39,Erfurt,Wuerz...
40,Wuerz...,Fulda
41,Wuerz...,Stutt...
42,Wuerz...,Nuern...
