,0,1
0,Nuern...,Bayreuth
1,Braun...,Magde...
2,Hamburg,Braun...
3,Braun...,Biele...
4,Erfurt,Chemnitz
5,Frank...,Darms...
6,Dortmund,Essen
7,Essen,Duess...
8,Erfurt,Leipzig
9,Erfurt,Dresden
10,Flens...,Kiel
11,Frank...,Koblenz
12,Karls...,Freiburg
13,Kassel,Fulda
14,Fulda,Frank...
15,Fulda,Giessen
16,Schwerin,Greif...
17,Hamburg,Schwerin
18,Hamburg,Hannover
19,Karls...,Mannheim
20,Karls...,Kaise...
21,Karls...,Saarb...
22,Stutt...,Karls...
23,Kassel,Dortmund
24,Braun...,Kassel
25,Muenchen,Kempten
26,Kiel,Hamburg
27,Koblenz,Koeln
28,Stutt...,Konstanz
29,Dortmund,Muenster
30,Wesel,Norden
31,Nuern...,Muenchen
32,Wesel,Olden...
33,Muenster,Osnab...
34,Hannover,Osnab...
35,Muenchen,Passau
36,Muenchen,Regen...
37,Schwerin,Berlin
38,Koblenz,Siegen
39,Koblenz,Trier
40,Stutt...,Ulm
41,Essen,Wesel
42,Wesel,Aachen
43,Wuerz...,Erfurt
44,Fulda,Wuerz...
45,Wuerz...,Stutt...
46,Wuerz...,Augsburg
47,Wuerz...,Nuern...
