,0,1
0,Muenchen,Augsburg
1,Bayreuth,Chemnitz
2,Nuern...,Bayreuth
3,Braun...,Magde...
4,Braun...,Hamburg
5,Braun...,Hannover
6,Braun...,Biele...
7,Bremen,Breme...
8,Berlin,Dresden
9,Kiel,Flens...
10,Konstanz,Freiburg
11,Fulda,Kassel
12,Frank...,Fulda
13,Berlin,Greif...
14,Hannover,Bremen
15,Kassel,Braun...
16,Muenchen,Kempten
17,Hamburg,Kiel
18,Stutt...,Konstanz
19,Magde...,Berlin
20,Magde...,Leipzig
21,Olden...,Norden
22,Nuern...,Muenchen
23,Bremen,Olden...
24,Osnab...,Muenster
25,Hannover,Osnab...
26,Muenchen,Passau
27,Muenchen,Regen...
28,Stutt...,Ulm
29,Fulda,Wuerz...
30,Wuerz...,Stutt...
31,Wuerz...,Nuern...
