,0,1
0,Aachen,Koeln
1,Augsburg,Ulm
2,Augsburg,Muenchen
3,Braun...,Hamburg
4,Braun...,Hannover
5,Braun...,Biele...
6,Bremen,Breme...
7,Flens...,Breme...
8,Erfurt,Chemnitz
9,Dortmund,Essen
10,Essen,Duess...
11,Erfurt,Leipzig
12,Erfurt,Dresden
13,Kiel,Flens...
14,Karls...,Freiburg
15,Fulda,Kassel
16,Fulda,Giessen
17,Schwerin,Greif...
18,Hamburg,Schwerin
19,Hannover,Bremen
20,Kaise...,Darms...
21,Karls...,Mannheim
22,Karls...,Kaise...
23,Karls...,Saarb...
24,Stutt...,Karls...
25,Kassel,Dortmund
26,Kassel,Erfurt
27,Kassel,Braun...
28,Muenchen,Kempten
29,Kiel,Schwerin
30,Hamburg,Kiel
31,Dortmund,Muenster
32,Wesel,Norden
33,Wesel,Olden...
34,Hannover,Osnab...
35,Muenchen,Passau
36,Schwerin,Berlin
37,Aachen,Trier
38,Essen,Wesel
39,Wesel,Aachen
40,Fulda,Wuerz...
41,Wuerz...,Stutt...
42,Wuerz...,Augsburg
