,0,1
0,Augsburg,Ulm
1,Augsburg,Muenchen
2,Braun...,Magde...
3,Braun...,Hamburg
4,Braun...,Hannover
5,Bremen,Breme...
6,Erfurt,Chemnitz
7,Erfurt,Leipzig
8,Erfurt,Dresden
9,Kiel,Flens...
10,Karls...,Freiburg
11,Giessen,Kassel
12,Schwerin,Greif...
13,Hamburg,Schwerin
14,Hannover,Bremen
15,Karls...,Mannheim
16,Karls...,Saarb...
17,Stutt...,Karls...
18,Kassel,Erfurt
19,Kassel,Braun...
20,Muenchen,Kempten
21,Hamburg,Kiel
22,Olden...,Norden
23,Olden...,Wesel
24,Bremen,Olden...
25,Hannover,Osnab...
26,Muenchen,Passau
27,Schwerin,Berlin
28,Wesel,Aachen
29,Erfurt,Wuerz...
30,Wuerz...,Stutt...
31,Wuerz...,Augsburg
