,0,1
0,Augsburg,Muenchen
1,Braun...,Magde...
2,Hannover,Braun...
3,Frank...,Darms...
4,Berlin,Dresden
5,Frank...,Koblenz
6,Karls...,Freiburg
7,Konstanz,Freiburg
8,Kassel,Fulda
9,Fulda,Frank...
10,Berlin,Greif...
11,Koblenz,Kaise...
12,Stutt...,Karls...
13,Braun...,Kassel
14,Muenchen,Kempten
15,Koblenz,Koeln
16,Koeln,Duess...
17,Stutt...,Konstanz
18,Magde...,Berlin
19,Darms...,Mannheim
20,Muenchen,Passau
21,Kaise...,Saarb...
22,Trier,Aachen
23,Koblenz,Trier
24,Fulda,Wuerz...
25,Wuerz...,Stutt...
26,Wuerz...,Augsburg
