,0,1
0,Nuern...,Bayreuth
1,Braun...,Hamburg
2,Flens...,Breme...
3,Dortmund,Essen
4,Essen,Duess...
5,Kiel,Flens...
6,Konstanz,Freiburg
7,Kassel,Fulda
8,Schwerin,Greif...
9,Hamburg,Schwerin
10,Kassel,Dortmund
11,Kassel,Braun...
12,Konstanz,Kempten
13,Hamburg,Kiel
14,Duess...,Koeln
15,Stutt...,Konstanz
16,Dortmund,Muenster
17,Wesel,Norden
18,Wesel,Olden...
19,Regen...,Passau
20,Nuern...,Regen...
21,Trier,Saarb...
22,Aachen,Trier
23,Stutt...,Ulm
24,Essen,Wesel
25,Wesel,Aachen
26,Fulda,Wuerz...
27,Wuerz...,Stutt...
28,Wuerz...,Nuern...
