,0,1
0,Aachen,Koeln
1,Braun...,Magde...
2,Braun...,Hamburg
3,Braun...,Hannover
4,Bremen,Breme...
5,Kiel,Flens...
6,Koblenz,Frank...
7,Konstanz,Freiburg
8,Fulda,Kassel
9,Hannover,Bremen
10,Kaise...,Darms...
11,Karls...,Mannheim
12,Karls...,Kaise...
13,Karls...,Saarb...
14,Stutt...,Karls...
15,Kassel,Braun...
16,Kempten,Konstanz
17,Hamburg,Kiel
18,Koeln,Duess...
19,Konstanz,Stutt...
20,Wesel,Norden
21,Wesel,Olden...
22,Olden...,Osnab...
23,Saarb...,Trier
24,Koblenz,Siegen
25,Trier,Aachen
26,Trier,Koblenz
27,Stutt...,Ulm
28,Aachen,Wesel
29,Wuerz...,Fulda
30,Stutt...,Wuerz...
