,0,1
0,Nuern...,Bayreuth
1,Hannover,Biele...
2,Braun...,Magde...
3,Hamburg,Braun...
4,Braun...,Hannover
5,Bremen,Breme...
6,Frank...,Darms...
7,Dortmund,Essen
8,Essen,Duess...
9,Frank...,Koblenz
10,Konstanz,Freiburg
11,Kassel,Fulda
12,Fulda,Frank...
13,Fulda,Giessen
14,Hannover,Bremen
15,Koblenz,Kaise...
16,Kassel,Dortmund
17,Braun...,Kassel
18,Konstanz,Kempten
19,Kiel,Hamburg
20,Koblenz,Koeln
21,Stutt...,Konstanz
22,Darms...,Mannheim
23,Dortmund,Muenster
24,Wesel,Norden
25,Wesel,Olden...
26,Hannover,Osnab...
27,Regen...,Passau
28,Nuern...,Regen...
29,Trier,Saarb...
30,Dortmund,Siegen
31,Koblenz,Trier
32,Stutt...,Ulm
33,Essen,Wesel
34,Wesel,Aachen
35,Fulda,Wuerz...
36,Wuerz...,Stutt...
37,Wuerz...,Nuern...
