,0,1
0,Muenchen,Augsburg
1,Nuern...,Bayreuth
2,Braun...,Magde...
3,Braun...,Hamburg
4,Erfurt,Chemnitz
5,Frank...,Darms...
6,Dortmund,Essen
7,Essen,Duess...
8,Erfurt,Leipzig
9,Erfurt,Dresden
10,Kiel,Flens...
11,Koblenz,Frank...
12,Konstanz,Freiburg
13,Fulda,Kassel
14,Frank...,Fulda
15,Fulda,Giessen
16,Berlin,Greif...
17,Kassel,Dortmund
18,Kassel,Erfurt
19,Kassel,Braun...
20,Muenchen,Kempten
21,Hamburg,Kiel
22,Stutt...,Konstanz
23,Leipzig,Berlin
24,Magde...,Berlin
25,Darms...,Mannheim
26,Dortmund,Muenster
27,Wesel,Norden
28,Nuern...,Muenchen
29,Muenchen,Passau
30,Nuern...,Regen...
31,Stutt...,Ulm
32,Essen,Wesel
33,Fulda,Wuerz...
34,Wuerz...,Stutt...
35,Wuerz...,Nuern...
