,0,1
0,Aachen,Koeln
1,Nuern...,Bayreuth
2,Braun...,Magde...
3,Braun...,Hamburg
4,Braun...,Hannover
5,Braun...,Biele...
6,Bremen,Breme...
7,Erfurt,Chemnitz
8,Frank...,Darms...
9,Dortmund,Essen
10,Essen,Duess...
11,Erfurt,Leipzig
12,Erfurt,Dresden
13,Kiel,Flens...
14,Frank...,Koblenz
15,Fulda,Kassel
16,Fulda,Frank...
17,Fulda,Giessen
18,Schwerin,Greif...
19,Hamburg,Schwerin
20,Hannover,Bremen
21,Kassel,Dortmund
22,Kassel,Erfurt
23,Kassel,Braun...
24,Hamburg,Kiel
25,Duess...,Koeln
26,Konstanz,Stutt...
27,Dortmund,Muenster
28,Wesel,Norden
29,Wesel,Olden...
30,Hannover,Osnab...
31,Regen...,Passau
32,Nuern...,Regen...
33,Schwerin,Berlin
34,Dortmund,Siegen
35,Aachen,Trier
36,Stutt...,Ulm
37,Essen,Wesel
38,Wesel,Aachen
39,Wuerz...,Fulda
40,Stutt...,Wuerz...
41,Wuerz...,Augsburg
42,Wuerz...,Nuern...
