,0,1
0,Augsburg,Muenchen
1,Flens...,Breme...
2,Erfurt,Chemnitz
3,Leipzig,Erfurt
4,Kiel,Flens...
5,Karls...,Freiburg
6,Berlin,Greif...
7,Kaise...,Koblenz
8,Kaise...,Darms...
9,Karls...,Mannheim
10,Karls...,Kaise...
11,Karls...,Saarb...
12,Stutt...,Karls...
13,Kempten,Konstanz
14,Muenchen,Kempten
15,Schwerin,Kiel
16,Koblenz,Koeln
17,Leipzig,Berlin
18,Muenchen,Passau
19,Muenchen,Regen...
20,Saarb...,Trier
21,Berlin,Schwerin
22,Trier,Aachen
23,Stutt...,Ulm
24,Erfurt,Wuerz...
25,Wuerz...,Stutt...
26,Wuerz...,Augsburg
