,0,1
0,Koeln,Aachen
1,Leipzig,Bayreuth
2,Bayreuth,Chemnitz
3,Bayreuth,Nuern...
4,Biele...,Muenster
5,Biele...,Siegen
6,Magde...,Braun...
7,Braun...,Hannover
8,Braun...,Biele...
9,Bremen,Breme...
10,Breme...,Flens...
11,Leipzig,Dresden
12,Karls...,Freiburg
13,Hannover,Bremen
14,Koblenz,Kaise...
15,Kaise...,Darms...
16,Kaise...,Karls...
17,Muenchen,Kempten
18,Koblenz,Koeln
19,Koeln,Duess...
20,Magde...,Leipzig
21,Darms...,Mannheim
22,Olden...,Norden
23,Nuern...,Muenchen
24,Olden...,Wesel
25,Bremen,Olden...
26,Hannover,Osnab...
27,Muenchen,Passau
28,Nuern...,Regen...
29,Trier,Saarb...
30,Siegen,Koblenz
31,Koblenz,Trier
