,0,1
0,Augsburg,Ulm
1,Nuern...,Bayreuth
2,Hannover,Biele...
3,Braun...,Magde...
4,Braun...,Hamburg
5,Braun...,Hannover
6,Bremen,Breme...
7,Erfurt,Chemnitz
8,Darms...,Frank...
9,Dortmund,Essen
10,Essen,Duess...
11,Erfurt,Leipzig
12,Erfurt,Dresden
13,Kiel,Flens...
14,Frank...,Koblenz
15,Fulda,Kassel
16,Frank...,Fulda
17,Kassel,Giessen
18,Schwerin,Greif...
19,Hamburg,Schwerin
20,Hannover,Bremen
21,Kassel,Dortmund
22,Kassel,Braun...
23,Kempten,Konstanz
24,Muenchen,Kempten
25,Hamburg,Kiel
26,Koblenz,Koeln
27,Duess...,Koeln
28,Mannheim,Darms...
29,Dortmund,Muenster
30,Wesel,Norden
31,Nuern...,Muenchen
32,Wesel,Olden...
33,Hannover,Osnab...
34,Muenchen,Passau
35,Muenchen,Regen...
36,Schwerin,Berlin
37,Dortmund,Siegen
38,Aachen,Trier
39,Essen,Wesel
40,Wesel,Aachen
41,Wuerz...,Erfurt
42,Fulda,Wuerz...
43,Wuerz...,Augsburg
44,Wuerz...,Nuern...
