,0,1
0,Bayreuth,Chemnitz
1,Nuern...,Bayreuth
2,Braun...,Magde...
3,Braun...,Hamburg
4,Flens...,Breme...
5,Frank...,Darms...
6,Dortmund,Essen
7,Berlin,Dresden
8,Essen,Duess...
9,Kiel,Flens...
10,Konstanz,Freiburg
11,Kassel,Fulda
12,Fulda,Frank...
13,Kassel,Giessen
14,Greif...,Berlin
15,Schwerin,Greif...
16,Hamburg,Schwerin
17,Darms...,Kaise...
18,Dortmund,Kassel
19,Kassel,Braun...
20,Konstanz,Kempten
21,Hamburg,Kiel
22,Duess...,Koeln
23,Stutt...,Konstanz
24,Darms...,Mannheim
25,Muenster,Dortmund
26,Wesel,Norden
27,Regen...,Passau
28,Nuern...,Regen...
29,Kaise...,Saarb...
30,Aachen,Trier
31,Essen,Wesel
32,Wesel,Aachen
33,Fulda,Wuerz...
34,Wuerz...,Stutt...
35,Wuerz...,Nuern...
