,0,1
0,Aachen,Koeln
1,Augsburg,Muenchen
2,Nuern...,Bayreuth
3,Braun...,Magde...
4,Braun...,Hamburg
5,Braun...,Biele...
6,Flens...,Breme...
7,Erfurt,Chemnitz
8,Frank...,Darms...
9,Essen,Dortmund
10,Essen,Duess...
11,Erfurt,Leipzig
12,Erfurt,Dresden
13,Kiel,Flens...
14,Frank...,Koblenz
15,Karls...,Freiburg
16,Kassel,Fulda
17,Fulda,Frank...
18,Fulda,Giessen
19,Schwerin,Greif...
20,Hamburg,Schwerin
21,Hamburg,Hannover
22,Karls...,Mannheim
23,Karls...,Kaise...
24,Karls...,Saarb...
25,Stutt...,Karls...
26,Dortmund,Kassel
27,Kassel,Braun...
28,Muenchen,Kempten
29,Hamburg,Kiel
30,Stutt...,Konstanz
31,Dortmund,Muenster
32,Norden,Wesel
33,Nuern...,Muenchen
34,Hannover,Osnab...
35,Muenchen,Passau
36,Nuern...,Regen...
37,Schwerin,Berlin
38,Dortmund,Siegen
39,Aachen,Trier
40,Stutt...,Ulm
41,Wesel,Essen
42,Wesel,Aachen
43,Wuerz...,Erfurt
44,Fulda,Wuerz...
45,Wuerz...,Stutt...
46,Wuerz...,Augsburg
47,Wuerz...,Nuern...
