,0,1
0,Augsburg,Ulm
1,Hannover,Biele...
2,Braun...,Magde...
3,Braun...,Hamburg
4,Braun...,Hannover
5,Bremen,Breme...
6,Dresden,Chemnitz
7,Frank...,Darms...
8,Dortmund,Essen
9,Berlin,Dresden
10,Essen,Duess...
11,Kiel,Flens...
12,Frank...,Koblenz
13,Karls...,Freiburg
14,Fulda,Kassel
15,Fulda,Frank...
16,Kassel,Giessen
17,Schwerin,Greif...
18,Hamburg,Schwerin
19,Hannover,Bremen
20,Koblenz,Kaise...
21,Kaise...,Karls...
22,Kassel,Dortmund
23,Kassel,Braun...
24,Hamburg,Kiel
25,Koblenz,Koeln
26,Magde...,Leipzig
27,Darms...,Mannheim
28,Dortmund,Muenster
29,Wesel,Norden
30,Wesel,Olden...
31,Hannover,Osnab...
32,Kaise...,Saarb...
33,Schwerin,Berlin
34,Koblenz,Siegen
35,Koblenz,Trier
36,Essen,Wesel
37,Wesel,Aachen
38,Wuerz...,Fulda
39,Wuerz...,Augsburg
40,Nuern...,Wuerz...
