,0,1
0,Augsburg,Muenchen
1,Braun...,Magde...
2,Braun...,Hamburg
3,Hannover,Braun...
4,Braun...,Biele...
5,Flens...,Breme...
6,Frank...,Darms...
7,Berlin,Dresden
8,Kiel,Flens...
9,Frank...,Koblenz
10,Karls...,Freiburg
11,Kassel,Fulda
12,Fulda,Frank...
13,Fulda,Giessen
14,Schwerin,Greif...
15,Hamburg,Schwerin
16,Karls...,Mannheim
17,Karls...,Kaise...
18,Karls...,Saarb...
19,Stutt...,Karls...
20,Braun...,Kassel
21,Muenchen,Kempten
22,Hamburg,Kiel
23,Koblenz,Koeln
24,Magde...,Berlin
25,Olden...,Norden
26,Olden...,Osnab...
27,Osnab...,Hannover
28,Muenchen,Passau
29,Koblenz,Trier
30,Fulda,Wuerz...
31,Wuerz...,Stutt...
32,Wuerz...,Augsburg
