,0,1
0,Augsburg,Muenchen
1,Leipzig,Bayreuth
2,Muenster,Biele...
3,Erfurt,Chemnitz
4,Dortmund,Essen
5,Essen,Duess...
6,Erfurt,Leipzig
7,Karls...,Freiburg
8,Freiburg,Konstanz
9,Kassel,Giessen
10,Berlin,Greif...
11,Kaise...,Darms...
12,Karls...,Mannheim
13,Karls...,Kaise...
14,Karls...,Saarb...
15,Stutt...,Karls...
16,Dortmund,Kassel
17,Kassel,Erfurt
18,Muenchen,Kempten
19,Duess...,Koeln
20,Leipzig,Berlin
21,Berlin,Magde...
22,Muenster,Dortmund
23,Osnab...,Muenster
24,Muenchen,Passau
25,Muenchen,Regen...
26,Saarb...,Trier
27,Dortmund,Siegen
28,Siegen,Koblenz
29,Trier,Aachen
30,Stutt...,Ulm
31,Erfurt,Wuerz...
32,Wuerz...,Stutt...
33,Wuerz...,Augsburg
