,0,1
0,Muenchen,Augsburg
1,Nuern...,Bayreuth
2,Hannover,Biele...
3,Braun...,Magde...
4,Braun...,Hamburg
5,Braun...,Hannover
6,Bremen,Breme...
7,Flens...,Breme...
8,Erfurt,Chemnitz
9,Frank...,Darms...
10,Dortmund,Essen
11,Essen,Duess...
12,Erfurt,Leipzig
13,Erfurt,Dresden
14,Kiel,Flens...
15,Frank...,Koblenz
16,Karls...,Freiburg
17,Fulda,Kassel
18,Fulda,Frank...
19,Fulda,Giessen
20,Schwerin,Greif...
21,Hamburg,Schwerin
22,Hannover,Bremen
23,Koblenz,Kaise...
24,Karls...,Mannheim
25,Karls...,Saarb...
26,Stutt...,Karls...
27,Kassel,Dortmund
28,Kassel,Braun...
29,Muenchen,Kempten
30,Hamburg,Kiel
31,Koblenz,Koeln
32,Stutt...,Konstanz
33,Dortmund,Muenster
34,Wesel,Norden
35,Norden,Wesel
36,Muenchen,Nuern...
37,Wesel,Olden...
38,Hannover,Osnab...
39,Passau,Muenchen
40,Schwerin,Berlin
41,Dortmund,Siegen
42,Koblenz,Trier
43,Stutt...,Ulm
44,Essen,Wesel
45,Wesel,Aachen
46,Wuerz...,Erfurt
47,Wuerz...,Fulda
48,Wuerz...,Stutt...
49,Nuern...,Wuerz...
