,0,1
0,Nuern...,Bayreuth
1,Braun...,Magde...
2,Braun...,Hamburg
3,Braun...,Hannover
4,Braun...,Biele...
5,Bremen,Breme...
6,Erfurt,Chemnitz
7,Frank...,Darms...
8,Dortmund,Essen
9,Essen,Duess...
10,Erfurt,Leipzig
11,Erfurt,Dresden
12,Kiel,Flens...
13,Frank...,Koblenz
14,Karls...,Freiburg
15,Fulda,Kassel
16,Fulda,Frank...
17,Kassel,Giessen
18,Schwerin,Greif...
19,Hamburg,Schwerin
20,Hannover,Bremen
21,Koblenz,Kaise...
22,Kaise...,Koblenz
23,Kaise...,Darms...
24,Karls...,Mannheim
25,Karls...,Kaise...
26,Karls...,Saarb...
27,Stutt...,Karls...
28,Kassel,Dortmund
29,Kassel,Erfurt
30,Kassel,Braun...
31,Konstanz,Kempten
32,Hamburg,Kiel
33,Koblenz,Koeln
34,Stutt...,Konstanz
35,Dortmund,Muenster
36,Wesel,Norden
37,Wesel,Olden...
38,Hannover,Osnab...
39,Regen...,Passau
40,Regen...,Nuern...
41,Schwerin,Berlin
42,Koblenz,Siegen
43,Koblenz,Trier
44,Stutt...,Ulm
45,Essen,Wesel
46,Wesel,Aachen
47,Wuerz...,Fulda
48,Wuerz...,Stutt...
49,Wuerz...,Augsburg
50,Nuern...,Wuerz...
