,0,1
0,Muenchen,Augsburg
1,Nuern...,Bayreuth
2,Magde...,Braun...
3,Braun...,Hannover
4,Braun...,Biele...
5,Bremen,Breme...
6,Erfurt,Chemnitz
7,Frank...,Darms...
8,Dortmund,Essen
9,Essen,Duess...
10,Leipzig,Erfurt
11,Erfurt,Dresden
12,Karls...,Freiburg
13,Kassel,Fulda
14,Kassel,Giessen
15,Giessen,Frank...
16,Schwerin,Greif...
17,Schwerin,Hamburg
18,Hannover,Bremen
19,Koblenz,Kaise...
20,Karls...,Mannheim
21,Saarb...,Karls...
22,Karls...,Saarb...
23,Stutt...,Karls...
24,Kassel,Dortmund
25,Braun...,Kassel
26,Muenchen,Kempten
27,Koblenz,Koeln
28,Stutt...,Konstanz
29,Magde...,Leipzig
30,Schwerin,Magde...
31,Dortmund,Muenster
32,Wesel,Norden
33,Nuern...,Muenchen
34,Wesel,Olden...
35,Hannover,Osnab...
36,Muenchen,Passau
37,Nuern...,Regen...
38,Dortmund,Siegen
39,Siegen,Koblenz
40,Koblenz,Trier
41,Stutt...,Ulm
42,Essen,Wesel
43,Wesel,Aachen
44,Erfurt,Wuerz...
45,Wuerz...,Stutt...
46,Wuerz...,Nuern...
