,0,1
0,Bayreuth,Leipzig
1,Bayreuth,Chemnitz
2,Nuern...,Bayreuth
3,Biele...,Muenster
4,Siegen,Biele...
5,Biele...,Hannover
6,Bremen,Breme...
7,Breme...,Flens...
8,Chemnitz,Dresden
9,Konstanz,Freiburg
10,Giessen,Fulda
11,Siegen,Giessen
12,Schwerin,Greif...
13,Hamburg,Schwerin
14,Hannover,Hamburg
15,Hannover,Bremen
16,Karls...,Mannheim
17,Karls...,Saarb...
18,Stutt...,Karls...
19,Konstanz,Kempten
20,Stutt...,Konstanz
21,Olden...,Norden
22,Olden...,Wesel
23,Bremen,Olden...
24,Regen...,Passau
25,Nuern...,Regen...
26,Schwerin,Berlin
27,Stutt...,Ulm
28,Wesel,Aachen
29,Fulda,Wuerz...
30,Wuerz...,Stutt...
31,Wuerz...,Nuern...
