,0,1
0,Augsburg,Muenchen
1,Leipzig,Bayreuth
2,Braun...,Magde...
3,Braun...,Hamburg
4,Braun...,Hannover
5,Braun...,Biele...
6,Frank...,Darms...
7,Essen,Dortmund
8,Kiel,Flens...
9,Frank...,Koblenz
10,Karls...,Freiburg
11,Kassel,Fulda
12,Fulda,Frank...
13,Siegen,Giessen
14,Schwerin,Greif...
15,Hamburg,Schwerin
16,Karls...,Mannheim
17,Karls...,Kaise...
18,Karls...,Saarb...
19,Stutt...,Karls...
20,Dortmund,Kassel
21,Kassel,Braun...
22,Muenchen,Kempten
23,Hamburg,Kiel
24,Magde...,Leipzig
25,Dortmund,Muenster
26,Wesel,Norden
27,Muenchen,Passau
28,Dortmund,Siegen
29,Koblenz,Trier
30,Wesel,Essen
31,Fulda,Wuerz...
32,Wuerz...,Stutt...
33,Wuerz...,Augsburg
