,0,1
0,"(0, 0)","(0, 2)"
1,"(0, 2)","(2, 2)"
2,"(0, 3)","(0, 4)"
3,"(0, 5)","(0, 3)"
4,"(0, 5)","(1, 5)"
5,"(2, 5)","(0, 5)"
6,"(0, 6)","(1, 6)"
7,"(2, 6)","(0, 6)"
8,"(0, 7)","(1, 7)"
9,"(2, 7)","(0, 7)"
10,"(1, 7)","(1, 3)"
11,"(1, 7)","(1, 4)"
12,"(2, 2)","(6, 2)"
13,"(2, 2)","(2, 4)"
14,"(2, 2)","(2, 5)"
15,"(2, 2)","(2, 6)"
16,"(2, 6)","(2, 3)"
17,"(2, 4)","(4, 4)"
18,"(2, 4)","(6, 4)"
19,"(2, 5)","(4, 5)"
20,"(2, 5)","(5, 5)"
21,"(2, 5)","(6, 5)"
22,"(2, 6)","(4, 6)"
23,"(2, 6)","(5, 6)"
24,"(2, 6)","(6, 6)"
25,"(2, 6)","(2, 7)"
26,"(2, 7)","(4, 7)"
27,"(2, 7)","(6, 7)"
28,"(5, 6)","(3, 6)"
29,"(5, 7)","(3, 7)"
30,"(4, 6)","(4, 3)"
31,"(5, 3)","(5, 1)"
32,"(5, 3)","(7, 3)"
33,"(5, 3)","(5, 4)"
34,"(5, 6)","(5, 3)"
35,"(5, 5)","(7, 5)"
36,"(5, 6)","(7, 6)"
37,"(5, 6)","(5, 7)"
38,"(5, 7)","(7, 7)"
39,"(6, 2)","(7, 2)"
40,"(6, 6)","(6, 3)"
41,"(6, 4)","(7, 4)"
42,"(7, 2)","(7, 0)"
