,0,1
0,"(0, 0)","(2, 0)"
1,"(2, 0)","(6, 0)"
2,"(2, 0)","(2, 1)"
3,"(2, 1)","(4, 1)"
4,"(2, 1)","(5, 1)"
5,"(2, 1)","(6, 1)"
6,"(6, 3)","(3, 3)"
7,"(4, 7)","(3, 7)"
8,"(4, 1)","(4, 3)"
9,"(4, 3)","(4, 6)"
10,"(4, 3)","(4, 7)"
11,"(4, 7)","(4, 4)"
12,"(5, 1)","(5, 0)"
13,"(5, 1)","(5, 3)"
14,"(5, 3)","(7, 3)"
15,"(5, 3)","(5, 4)"
16,"(5, 3)","(5, 5)"
17,"(5, 3)","(5, 7)"
18,"(6, 0)","(7, 0)"
19,"(6, 0)","(6, 2)"
20,"(6, 1)","(7, 1)"
21,"(6, 1)","(6, 3)"
22,"(6, 2)","(6, 4)"
23,"(6, 2)","(6, 5)"
24,"(6, 2)","(6, 6)"
25,"(6, 3)","(6, 7)"
26,"(6, 6)","(7, 6)"
27,"(6, 7)","(7, 7)"
28,"(7, 3)","(7, 5)"
