,0,1
0,"(0, 0)","(0, 2)"
1,"(0, 2)","(1, 2)"
2,"(0, 2)","(0, 5)"
3,"(2, 3)","(0, 3)"
4,"(0, 5)","(2, 5)"
5,"(2, 7)","(0, 7)"
6,"(1, 2)","(1, 4)"
7,"(2, 3)","(4, 3)"
8,"(2, 5)","(2, 3)"
9,"(2, 5)","(4, 5)"
10,"(2, 5)","(5, 5)"
11,"(2, 5)","(2, 7)"
12,"(2, 7)","(6, 7)"
13,"(4, 2)","(3, 2)"
14,"(5, 3)","(3, 3)"
15,"(3, 3)","(3, 6)"
16,"(4, 5)","(3, 5)"
17,"(5, 7)","(3, 7)"
18,"(4, 3)","(4, 1)"
19,"(4, 5)","(4, 2)"
20,"(4, 5)","(4, 7)"
21,"(5, 3)","(5, 1)"
22,"(5, 5)","(5, 3)"
23,"(5, 7)","(5, 4)"
24,"(5, 5)","(7, 5)"
25,"(5, 5)","(5, 7)"
26,"(5, 7)","(5, 6)"
27,"(6, 7)","(6, 3)"
28,"(7, 5)","(7, 2)"
29,"(7, 5)","(7, 3)"
30,"(7, 3)","(7, 6)"
31,"(7, 7)","(7, 4)"
32,"(7, 5)","(7, 7)"
