,0,1
0,"(0, 0)","(0, 2)"
1,"(7, 2)","(7, 0)"
2,"(0, 2)","(0, 4)"
3,"(0, 2)","(0, 6)"
4,"(5, 2)","(3, 2)"
5,"(4, 2)","(4, 4)"
6,"(4, 2)","(4, 5)"
7,"(4, 6)","(4, 2)"
8,"(5, 2)","(5, 5)"
9,"(5, 6)","(5, 2)"
10,"(7, 6)","(7, 2)"
11,"(3, 7)","(3, 3)"
12,"(4, 6)","(4, 3)"
13,"(5, 6)","(5, 3)"
14,"(6, 3)","(6, 4)"
15,"(6, 6)","(6, 3)"
16,"(6, 3)","(7, 3)"
17,"(5, 7)","(5, 4)"
18,"(7, 7)","(7, 4)"
19,"(5, 5)","(7, 5)"
20,"(6, 7)","(6, 5)"
21,"(0, 6)","(0, 7)"
22,"(1, 6)","(0, 6)"
23,"(0, 6)","(1, 6)"
24,"(0, 6)","(2, 6)"
25,"(1, 6)","(1, 7)"
26,"(2, 6)","(2, 7)"
27,"(2, 6)","(4, 6)"
28,"(2, 6)","(5, 6)"
29,"(2, 6)","(6, 6)"
30,"(5, 6)","(3, 6)"
31,"(5, 6)","(7, 6)"
32,"(7, 6)","(7, 7)"
33,"(1, 7)","(3, 7)"
34,"(2, 7)","(4, 7)"
35,"(2, 7)","(5, 7)"
36,"(2, 7)","(6, 7)"
