,0,1
0,"(0, 0)","(0, 1)"
1,"(0, 1)","(0, 3)"
2,"(1, 3)","(1, 1)"
3,"(7, 3)","(7, 1)"
4,"(4, 4)","(4, 2)"
5,"(0, 6)","(0, 3)"
6,"(0, 3)","(0, 7)"
7,"(0, 3)","(1, 3)"
8,"(0, 3)","(2, 3)"
9,"(1, 3)","(1, 4)"
10,"(1, 3)","(1, 6)"
11,"(1, 3)","(1, 7)"
12,"(1, 3)","(3, 3)"
13,"(2, 3)","(2, 6)"
14,"(2, 3)","(2, 7)"
15,"(2, 3)","(4, 3)"
16,"(2, 3)","(5, 3)"
17,"(2, 3)","(6, 3)"
18,"(3, 3)","(3, 4)"
19,"(4, 3)","(4, 4)"
20,"(4, 3)","(4, 6)"
21,"(4, 3)","(7, 3)"
22,"(5, 3)","(5, 4)"
23,"(5, 3)","(5, 7)"
24,"(6, 3)","(6, 5)"
25,"(6, 3)","(6, 6)"
26,"(5, 4)","(7, 4)"
27,"(6, 7)","(6, 4)"
28,"(0, 7)","(0, 6)"
29,"(6, 6)","(3, 6)"
30,"(6, 6)","(7, 6)"
31,"(1, 7)","(3, 7)"
32,"(2, 7)","(4, 7)"
33,"(2, 7)","(6, 7)"
34,"(4, 7)","(7, 7)"
