,0,1
0,"(0, 0)","(2, 0)"
1,"(2, 0)","(2, 1)"
2,"(1, 1)","(1, 3)"
3,"(3, 1)","(1, 1)"
4,"(2, 1)","(2, 3)"
5,"(2, 1)","(4, 1)"
6,"(2, 1)","(5, 1)"
7,"(2, 1)","(6, 1)"
8,"(5, 1)","(3, 1)"
9,"(5, 1)","(5, 3)"
10,"(6, 1)","(7, 1)"
11,"(6, 6)","(6, 2)"
12,"(2, 3)","(2, 6)"
13,"(2, 3)","(2, 7)"
14,"(2, 3)","(4, 3)"
15,"(2, 3)","(6, 3)"
16,"(4, 3)","(4, 5)"
17,"(4, 3)","(7, 3)"
18,"(5, 3)","(5, 4)"
19,"(6, 3)","(6, 5)"
20,"(6, 7)","(6, 4)"
21,"(4, 5)","(3, 5)"
22,"(6, 5)","(7, 5)"
23,"(2, 6)","(4, 6)"
24,"(2, 6)","(5, 6)"
25,"(2, 6)","(6, 6)"
26,"(4, 6)","(7, 6)"
27,"(2, 7)","(4, 7)"
28,"(2, 7)","(5, 7)"
29,"(2, 7)","(6, 7)"
30,"(5, 7)","(7, 7)"
