,0,1
0,"(0, 0)","(0, 1)"
1,"(0, 1)","(0, 3)"
2,"(0, 3)","(1, 3)"
3,"(0, 3)","(2, 3)"
4,"(0, 3)","(0, 7)"
5,"(0, 7)","(2, 7)"
6,"(1, 3)","(1, 5)"
7,"(1, 3)","(1, 6)"
8,"(1, 3)","(1, 7)"
9,"(1, 5)","(3, 5)"
10,"(2, 3)","(4, 3)"
11,"(2, 3)","(5, 3)"
12,"(2, 3)","(6, 3)"
13,"(2, 3)","(2, 6)"
14,"(6, 5)","(2, 5)"
15,"(2, 7)","(6, 7)"
16,"(3, 5)","(3, 2)"
17,"(7, 3)","(3, 3)"
18,"(4, 4)","(3, 4)"
19,"(6, 7)","(3, 7)"
20,"(4, 3)","(4, 4)"
21,"(4, 3)","(4, 5)"
22,"(4, 3)","(4, 6)"
23,"(4, 3)","(4, 7)"
24,"(4, 5)","(7, 5)"
25,"(5, 3)","(5, 6)"
26,"(5, 3)","(5, 7)"
27,"(5, 7)","(7, 7)"
28,"(6, 3)","(6, 1)"
29,"(6, 3)","(7, 3)"
30,"(6, 3)","(6, 4)"
31,"(6, 3)","(6, 5)"
32,"(6, 3)","(6, 6)"
33,"(7, 3)","(7, 4)"
34,"(7, 3)","(7, 6)"
