,0,1
0,"(1, 0)","(0, 0)"
1,"(1, 2)","(0, 2)"
2,"(0, 2)","(2, 2)"
3,"(0, 2)","(0, 6)"
4,"(1, 4)","(0, 4)"
5,"(0, 7)","(0, 5)"
6,"(0, 6)","(2, 6)"
7,"(0, 6)","(0, 7)"
8,"(0, 7)","(2, 7)"
9,"(1, 1)","(1, 0)"
10,"(1, 0)","(1, 2)"
11,"(1, 2)","(3, 2)"
12,"(1, 2)","(1, 4)"
13,"(1, 2)","(1, 5)"
14,"(1, 5)","(3, 5)"
15,"(2, 0)","(4, 0)"
16,"(2, 2)","(2, 0)"
17,"(2, 2)","(2, 4)"
18,"(2, 2)","(2, 5)"
19,"(2, 5)","(2, 3)"
20,"(3, 2)","(4, 2)"
21,"(3, 2)","(5, 2)"
22,"(3, 2)","(6, 2)"
23,"(3, 2)","(7, 2)"
24,"(4, 2)","(4, 4)"
25,"(4, 2)","(4, 5)"
26,"(4, 2)","(4, 6)"
27,"(4, 4)","(4, 3)"
28,"(4, 5)","(4, 7)"
29,"(5, 2)","(5, 0)"
30,"(5, 2)","(5, 4)"
31,"(5, 2)","(5, 5)"
32,"(5, 2)","(5, 6)"
33,"(5, 6)","(5, 7)"
34,"(6, 2)","(6, 0)"
35,"(6, 2)","(6, 4)"
36,"(6, 2)","(6, 5)"
37,"(6, 2)","(6, 6)"
38,"(6, 6)","(6, 7)"
39,"(7, 2)","(7, 0)"
40,"(7, 2)","(7, 4)"
41,"(7, 2)","(7, 5)"
42,"(7, 2)","(7, 6)"
43,"(7, 4)","(7, 3)"
44,"(7, 4)","(7, 7)"
