,0,1
0,N31,N1
1,N25,N5
2,N35,N8
3,N30,N9
4,N10,N2
5,N28,N10
6,N14,N22
7,N14,N41
8,N59,N15
9,N6,N17
10,N64,N18
11,N45,N19
12,N9,N21
13,N25,N61
14,N27,N49
15,N27,N17
16,N28,N32
17,N30,N28
18,N28,N29
19,N28,N31
20,N31,N14
21,N55,N34
22,N34,N64
23,N35,N12
24,N35,N11
25,N50,N36
26,N25,N38
27,N38,N20
28,N40,N50
29,N16,N40
30,N40,N30
31,N45,N42
32,N45,N47
33,N61,N48
34,N49,N26
35,N2,N54
36,N55,N51
37,N28,N55
38,N59,N45
39,N59,N4
40,N59,N57
41,N59,N35
42,N59,N60
43,N62,N16
44,N63,N25
45,N63,N27
46,N63,N6
47,N30,N63
48,N63,N59
