,0,1
0,Chicago,StLouis
1,Nashv...,India...
2,Dallas,ElPaso
3,NewOr...,Houston
4,SaltL...,Calgary
5,Sacra...,SaltL...
6,Portland,Seattle
7,Memphis,Dallas
8,Kansa...,Oklah...
9,Nashv...,Charl...
10,StLouis,Memphis
11,Kansa...,Denver
12,NewYork,Cleve...
13,Detroit,Toronto
14,SaltL...,Sacra...
15,Calgary,Vanco...
16,SaltL...,LasVegas
17,NewOr...,Miami
18,SaltL...,Portland
19,Portland,SanFr...
20,Charl...,Tampa
21,Memphis,Nashv...
22,StLouis,Kansa...
23,Chicago,Minne...
24,Cleve...,Detroit
25,ElPaso,Phoenix
26,Charl...,Washi...
27,Charl...,Atlanta
28,Boston,NewYork
29,NewYork,Phila...
30,Detroit,Chicago
31,Denver,SaltL...
32,LasVegas,LosAn...
33,Calgary,Winnipeg
34,Cleve...,Cinci...
35,Memphis,NewOr...
36,Phoenix,SanDiego
37,Cleve...,Pitts...
