,0,1
0,Chicago,StLouis
1,Minne...,Chicago
2,Dallas,ElPaso
3,Winnipeg,Minne...
4,Memphis,Dallas
5,Nashv...,Charl...
6,Toronto,Montreal
7,StLouis,Memphis
8,Kansa...,Denver
9,Detroit,Toronto
10,NewYork,Boston
11,NewOr...,Miami
12,Charl...,Tampa
13,Dallas,Houston
14,Chicago,India...
15,ElPaso,Phoenix
16,Charl...,Washi...
17,Charl...,Atlanta
18,India...,Nashv...
19,NewYork,Phila...
20,Toronto,NewYork
21,Calgary,Winnipeg
22,Chicago,Detroit
23,Minne...,Kansa...
24,Cleve...,Cinci...
25,Dallas,Oklah...
26,Memphis,NewOr...
27,Cleve...,NewYork
28,Detroit,Cleve...
29,Phoenix,SanDiego
30,Cleve...,Pitts...
