,0,1
0,Charl...,Nashv...
1,Nashv...,India...
2,SaltL...,Calgary
3,Portland,Seattle
4,Memphis,Dallas
5,Toronto,Montreal
6,Detroit,Toronto
7,SaltL...,Sacra...
8,Calgary,Vanco...
9,SaltL...,LasVegas
10,NewOr...,Miami
11,SaltL...,Portland
12,Portland,SanFr...
13,India...,Chicago
14,Dallas,Houston
15,Denver,Kansa...
16,Chicago,Minne...
17,LosAn...,SanDiego
18,India...,Cinci...
19,Nashv...,Memphis
20,Denver,SaltL...
21,LasVegas,LosAn...
22,Calgary,Winnipeg
23,Dallas,Denver
24,Chicago,Detroit
25,Dallas,Oklah...
26,Memphis,NewOr...
27,Detroit,Cleve...
