,0,1
0,SaltL...,Calgary
1,Sacra...,SaltL...
2,Portland,Seattle
3,Toronto,Montreal
4,Detroit,Toronto
5,Montreal,Boston
6,SaltL...,Sacra...
7,Calgary,Vanco...
8,SaltL...,LasVegas
9,SaltL...,Portland
10,Portland,SanFr...
11,Memphis,Nashv...
12,Memphis,StLouis
13,StLouis,Kansa...
14,LosAn...,SanDiego
15,StLouis,Chicago
16,India...,Cinci...
17,Dallas,Memphis
18,Houston,Dallas
19,Denver,SaltL...
20,LasVegas,LosAn...
21,LasVegas,Sacra...
22,Calgary,Winnipeg
23,Dallas,Denver
24,Chicago,Detroit
25,Dallas,Oklah...
26,StLouis,India...
