,0,1
0,Dallas,ElPaso
1,NewOr...,Houston
2,SaltL...,Calgary
3,Portland,Seattle
4,Memphis,Dallas
5,Nashv...,Charl...
6,Washi...,Phila...
7,Phila...,NewYork
8,SanDiego,LosAn...
9,NewYork,Boston
10,Calgary,Vanco...
11,NewOr...,Miami
12,SaltL...,Portland
13,Washi...,Pitts...
14,Portland,SanFr...
15,Charl...,Tampa
16,Seattle,Vanco...
17,ElPaso,Phoenix
18,Charl...,Washi...
19,India...,Nashv...
20,Nashv...,Memphis
21,Denver,SaltL...
22,Dallas,Denver
23,Memphis,NewOr...
24,Phoenix,SanDiego
25,NewOr...,Atlanta
