,0,1
0,Houston,ElPaso
1,LosAn...,LasVegas
2,Kansa...,StLouis
3,Boston,Montreal
4,NewOr...,Houston
5,Denver,Dallas
6,Portland,Seattle
7,Kansa...,Oklah...
8,Nashv...,Charl...
9,StLouis,Memphis
10,SaltL...,Denver
11,SaltL...,Sacra...
12,NewYork,Boston
13,NewOr...,Miami
14,SaltL...,Portland
15,LasVegas,SaltL...
16,Atlanta,Charl...
17,Charl...,Tampa
18,Cinci...,Cleve...
19,Denver,Kansa...
20,Nashv...,Atlanta
21,Charl...,Washi...
22,India...,Cinci...
23,India...,Nashv...
24,NewYork,Phila...
25,Memphis,NewOr...
26,Cleve...,NewYork
27,StLouis,India...
28,Cleve...,Pitts...
