,0,1
0,Chicago,StLouis
1,Dallas,ElPaso
2,NewOr...,Houston
3,Montreal,Toronto
4,SaltL...,Calgary
5,Portland,Seattle
6,Memphis,Dallas
7,Kansa...,Oklah...
8,Nashv...,Charl...
9,StLouis,Memphis
10,Kansa...,Denver
11,SaltL...,Sacra...
12,Calgary,Vanco...
13,SaltL...,LasVegas
14,NewOr...,Miami
15,SaltL...,Portland
16,Portland,SanFr...
17,Atlanta,Charl...
18,Charl...,Tampa
19,Memphis,Nashv...
20,StLouis,Kansa...
21,Chicago,Minne...
22,Nashv...,Atlanta
23,ElPaso,Phoenix
24,Charl...,Washi...
25,Toronto,Detroit
26,NewYork,Phila...
27,Detroit,Chicago
28,Denver,SaltL...
29,LasVegas,LosAn...
30,Toronto,NewYork
31,Calgary,Winnipeg
32,Cleve...,Cinci...
33,Memphis,NewOr...
34,Detroit,Cleve...
35,StLouis,India...
36,Phoenix,SanDiego
37,Cleve...,Pitts...
