,0,1
0,SaltL...,Calgary
1,Portland,Seattle
2,Memphis,Dallas
3,Toronto,Montreal
4,Detroit,Toronto
5,Montreal,Boston
6,SaltL...,Sacra...
7,Calgary,Vanco...
8,SaltL...,LasVegas
9,SaltL...,Portland
10,Portland,SanFr...
11,Memphis,StLouis
12,StLouis,Kansa...
13,Chicago,Minne...
14,LosAn...,SanDiego
15,StLouis,Chicago
16,India...,Cinci...
17,NewOr...,Memphis
18,Denver,SaltL...
19,LasVegas,LosAn...
20,Calgary,Winnipeg
21,Dallas,Denver
22,Chicago,Detroit
23,Dallas,Oklah...
24,Detroit,Cleve...
25,StLouis,India...
