,0,1
0,Chicago,StLouis
1,Dallas,ElPaso
2,NewOr...,Houston
3,SaltL...,Calgary
4,Portland,Seattle
5,Memphis,Dallas
6,Kansa...,Oklah...
7,StLouis,Memphis
8,Kansa...,Denver
9,NewYork,Cleve...
10,Calgary,Vanco...
11,SaltL...,LasVegas
12,NewOr...,Miami
13,SaltL...,Portland
14,Portland,SanFr...
15,Atlanta,Charl...
16,Memphis,Nashv...
17,StLouis,Kansa...
18,Chicago,Minne...
19,Atlanta,Tampa
20,Nashv...,Atlanta
21,Pitts...,Washi...
22,Cleve...,Detroit
23,ElPaso,Phoenix
24,Detroit,Chicago
25,Denver,SaltL...
26,LasVegas,LosAn...
27,LasVegas,Sacra...
28,Calgary,Winnipeg
29,Cleve...,Cinci...
30,Memphis,NewOr...
31,StLouis,India...
32,Phoenix,SanDiego
33,NewOr...,Atlanta
34,Cleve...,Pitts...
