,0,1
0,Charl...,Nashv...
1,Phila...,Washi...
2,SaltL...,Calgary
3,Winnipeg,Minne...
4,Portland,Seattle
5,Memphis,Dallas
6,Toronto,Montreal
7,Phila...,NewYork
8,Washi...,Charl...
9,SaltL...,Sacra...
10,Pitts...,Cleve...
11,Calgary,Vanco...
12,SaltL...,LasVegas
13,NewOr...,Miami
14,SaltL...,Portland
15,Washi...,Pitts...
16,Portland,SanFr...
17,Memphis,StLouis
18,Dallas,Houston
19,StLouis,Kansa...
20,Cleve...,Detroit
21,LosAn...,SanDiego
22,StLouis,Chicago
23,Charl...,Atlanta
24,Kansa...,Minne...
25,Nashv...,Memphis
26,Denver,SaltL...
27,LasVegas,LosAn...
28,Calgary,Winnipeg
29,Dallas,Denver
30,Cleve...,Cinci...
31,Dallas,Oklah...
32,Memphis,NewOr...
33,NewYork,Toronto
