,0,1
0,Houston,ElPaso
1,Kansa...,StLouis
2,Phila...,Washi...
3,Sacra...,LasVegas
4,NewOr...,Houston
5,Sacra...,SaltL...
6,Portland,Seattle
7,Kansa...,Oklah...
8,LasVegas,Phoenix
9,Toronto,Montreal
10,StLouis,Memphis
11,Detroit,Toronto
12,SaltL...,Denver
13,SanDiego,LosAn...
14,Miami,Tampa
15,NewYork,Boston
16,NewOr...,Miami
17,SaltL...,Portland
18,Denver,Kansa...
19,ElPaso,Phoenix
20,LosAn...,SanDiego
21,StLouis,Chicago
22,NewYork,Phila...
23,Toronto,NewYork
24,Chicago,Detroit
25,Memphis,NewOr...
26,Phoenix,SanDiego
27,NewOr...,Atlanta
