,0,1
0,Houston,ElPaso
1,Kansa...,StLouis
2,Phila...,Washi...
3,Boston,Montreal
4,NewOr...,Houston
5,Portland,Seattle
6,Kansa...,Oklah...
7,StLouis,Memphis
8,SaltL...,Denver
9,NewYork,Boston
10,NewOr...,Miami
11,SaltL...,Portland
12,Portland,SanFr...
13,SanFr...,LosAn...
14,India...,Chicago
15,Cinci...,Cleve...
16,Denver,Kansa...
17,Atlanta,Tampa
18,LosAn...,SanDiego
19,StLouis,Chicago
20,India...,Cinci...
21,NewYork,Phila...
22,Detroit,Chicago
23,Chicago,Detroit
24,Memphis,NewOr...
25,Cleve...,NewYork
26,Detroit,Cleve...
27,StLouis,India...
28,NewOr...,Atlanta
29,Cleve...,Pitts...
