,0,1
0,Kansa...,StLouis
1,Boston,Montreal
2,Dallas,ElPaso
3,SaltL...,Calgary
4,Sacra...,SaltL...
5,Denver,Dallas
6,Nashv...,Charl...
7,SaltL...,Denver
8,NewYork,Boston
9,Calgary,Vanco...
10,SanFr...,Sacra...
11,Charl...,Tampa
12,Cinci...,Cleve...
13,Dallas,Houston
14,Tampa,Miami
15,Denver,Kansa...
16,ElPaso,Phoenix
17,Tampa,Atlanta
18,Charl...,Washi...
19,India...,Cinci...
20,India...,Nashv...
21,NewYork,Phila...
22,Calgary,Winnipeg
23,Cleve...,NewYork
24,StLouis,India...
25,Phoenix,SanDiego
26,Cleve...,Pitts...
