,0,1
0,Vanco...,Calgary
1,Chicago,StLouis
2,Minne...,Chicago
3,Dallas,ElPaso
4,Winnipeg,Minne...
5,Memphis,Dallas
6,Nashv...,Charl...
7,Toronto,Montreal
8,StLouis,Memphis
9,Detroit,Toronto
10,NewYork,Boston
11,NewOr...,Miami
12,Charl...,Tampa
13,Dallas,Houston
14,StLouis,Kansa...
15,Chicago,India...
16,Nashv...,Atlanta
17,Seattle,Vanco...
18,ElPaso,Phoenix
19,Charl...,Washi...
20,India...,Nashv...
21,NewYork,Phila...
22,Toronto,NewYork
23,Calgary,Winnipeg
24,Dallas,Denver
25,Chicago,Detroit
26,Cleve...,Cinci...
27,Dallas,Oklah...
28,Memphis,NewOr...
29,Cleve...,NewYork
30,Detroit,Cleve...
31,Phoenix,SanDiego
32,Cleve...,Pitts...
