,0,1
0,Chicago,StLouis
1,Nashv...,India...
2,Atlanta,NewOr...
3,Dallas,ElPaso
4,SaltL...,Calgary
5,Portland,Seattle
6,Memphis,Dallas
7,Toronto,Montreal
8,NewYork,Cleve...
9,Detroit,Toronto
10,SanDiego,LosAn...
11,Montreal,Boston
12,SaltL...,Sacra...
13,Pitts...,Cleve...
14,Calgary,Vanco...
15,SaltL...,LasVegas
16,SaltL...,Portland
17,Portland,SanFr...
18,ElPaso,Houston
19,India...,Chicago
20,Tampa,Miami
21,Denver,Kansa...
22,Chicago,Minne...
23,SanDiego,Phoenix
24,ElPaso,Phoenix
25,Tampa,Atlanta
26,LosAn...,SanDiego
27,Atlanta,Nashv...
28,India...,Cinci...
29,Nashv...,Memphis
30,Denver,SaltL...
31,LasVegas,LosAn...
32,Calgary,Winnipeg
33,Dallas,Denver
34,Chicago,Detroit
35,Dallas,Oklah...
36,Phoenix,SanDiego
37,Cleve...,Pitts...
