,0,1
0,LosAn...,SanFr...
1,Vanco...,Calgary
2,Chicago,StLouis
3,Calgary,SaltL...
4,Minne...,Chicago
5,Dallas,ElPaso
6,Winnipeg,Minne...
7,Memphis,Dallas
8,LasVegas,Phoenix
9,Nashv...,Charl...
10,Toronto,Montreal
11,StLouis,Memphis
12,Detroit,Toronto
13,SaltL...,Denver
14,NewYork,Boston
15,SaltL...,LasVegas
16,NewOr...,Miami
17,SaltL...,Portland
18,Vanco...,Seattle
19,Charl...,Tampa
20,Dallas,Houston
21,StLouis,Kansa...
22,Chicago,India...
23,Nashv...,Atlanta
24,Charl...,Washi...
25,LosAn...,SanDiego
26,India...,Cinci...
27,India...,Nashv...
28,NewYork,Phila...
29,LasVegas,LosAn...
30,LasVegas,Sacra...
31,Toronto,NewYork
32,Calgary,Winnipeg
33,Chicago,Detroit
34,Dallas,Oklah...
35,Memphis,NewOr...
36,Cleve...,NewYork
37,Detroit,Cleve...
38,Cleve...,Pitts...
