,0,1
0,Charl...,Nashv...
1,Nashv...,India...
2,Dallas,ElPaso
3,SaltL...,Calgary
4,Portland,Seattle
5,Memphis,Dallas
6,Washi...,Charl...
7,SaltL...,Sacra...
8,Calgary,Vanco...
9,SaltL...,LasVegas
10,NewOr...,Miami
11,SaltL...,Portland
12,Washi...,Pitts...
13,Portland,SanFr...
14,Charl...,Tampa
15,India...,Chicago
16,Memphis,StLouis
17,Dallas,Houston
18,Tampa,Miami
19,Denver,Kansa...
20,Nashv...,Atlanta
21,ElPaso,Phoenix
22,Kansa...,Minne...
23,India...,Cinci...
24,Nashv...,Memphis
25,Denver,SaltL...
26,LasVegas,LosAn...
27,Calgary,Winnipeg
28,Dallas,Denver
29,Dallas,Oklah...
30,Memphis,NewOr...
31,Phoenix,SanDiego
