,0,1
0,"(1, 5)","(1, 2)"
1,"(1, 5)","(3, 5)"
2,"(1, 5)","(1, 3)"
3,"(7, 7)","(7, 4)"
4,"(1, 2)","(1, 0)"
5,"(1, 5)","(1, 7)"
6,"(6, 3)","(6, 6)"
7,"(0, 5)","(1, 5)"
8,"(0, 1)","(0, 0)"
9,"(3, 5)","(4, 5)"
10,"(4, 7)","(4, 6)"
11,"(4, 5)","(4, 2)"
12,"(4, 2)","(2, 2)"
13,"(3, 3)","(3, 4)"
14,"(1, 1)","(0, 1)"
15,"(1, 4)","(0, 4)"
16,"(4, 2)","(4, 4)"
17,"(3, 5)","(6, 5)"
18,"(3, 5)","(3, 3)"
19,"(1, 3)","(1, 4)"
20,"(3, 7)","(7, 7)"
21,"(6, 3)","(6, 4)"
22,"(1, 3)","(1, 1)"
23,"(1, 6)","(3, 6)"
24,"(3, 5)","(3, 7)"
25,"(1, 2)","(1, 6)"
26,"(3, 3)","(6, 3)"
27,"(6, 3)","(6, 1)"
28,"(4, 5)","(4, 7)"
29,"(3, 5)","(7, 5)"
30,"(6, 5)","(6, 3)"
31,"(6, 5)","(6, 7)"
