,0,1
0,"(0, 0)","(0, 1)"
1,"(0, 1)","(1, 1)"
2,"(0, 1)","(2, 1)"
3,"(0, 1)","(0, 3)"
4,"(0, 3)","(1, 3)"
5,"(0, 3)","(2, 3)"
6,"(0, 3)","(0, 7)"
7,"(1, 6)","(1, 2)"
8,"(1, 3)","(1, 4)"
9,"(1, 3)","(1, 5)"
10,"(1, 3)","(1, 6)"
11,"(1, 3)","(1, 7)"
12,"(1, 6)","(3, 6)"
13,"(2, 1)","(4, 1)"
14,"(2, 1)","(5, 1)"
15,"(2, 1)","(6, 1)"
16,"(2, 1)","(2, 3)"
17,"(2, 3)","(4, 3)"
18,"(2, 3)","(5, 3)"
19,"(2, 3)","(6, 3)"
20,"(2, 3)","(2, 5)"
21,"(2, 3)","(2, 6)"
22,"(2, 3)","(2, 7)"
23,"(2, 6)","(5, 6)"
24,"(2, 7)","(4, 7)"
25,"(2, 7)","(5, 7)"
26,"(2, 7)","(6, 7)"
27,"(5, 0)","(3, 0)"
28,"(4, 1)","(3, 1)"
29,"(4, 3)","(3, 3)"
30,"(3, 3)","(3, 4)"
31,"(3, 4)","(5, 4)"
32,"(3, 7)","(3, 5)"
33,"(4, 7)","(3, 7)"
34,"(4, 1)","(7, 1)"
35,"(4, 3)","(7, 3)"
36,"(4, 7)","(4, 5)"
37,"(4, 7)","(7, 7)"
38,"(5, 1)","(5, 0)"
39,"(6, 3)","(6, 6)"
40,"(7, 7)","(7, 5)"
