,0,1
0,"(6, 7)","(3, 7)"
1,"(6, 4)","(7, 4)"
2,"(5, 1)","(3, 1)"
3,"(3, 1)","(1, 1)"
4,"(3, 5)","(4, 5)"
5,"(6, 2)","(6, 5)"
6,"(6, 5)","(6, 7)"
7,"(6, 5)","(7, 5)"
8,"(6, 5)","(3, 5)"
9,"(6, 2)","(6, 4)"
10,"(6, 2)","(6, 6)"
11,"(6, 0)","(6, 2)"
12,"(6, 0)","(6, 1)"
13,"(6, 1)","(6, 3)"
14,"(6, 1)","(7, 1)"
15,"(7, 3)","(7, 7)"
16,"(6, 3)","(7, 3)"
17,"(7, 3)","(4, 3)"
18,"(2, 3)","(2, 7)"
19,"(2, 7)","(4, 7)"
20,"(2, 1)","(2, 3)"
21,"(2, 1)","(5, 1)"
22,"(2, 0)","(2, 1)"
23,"(6, 6)","(7, 6)"
24,"(7, 6)","(5, 6)"
25,"(5, 3)","(3, 3)"
26,"(6, 6)","(3, 6)"
27,"(5, 1)","(5, 3)"
28,"(2, 3)","(6, 3)"
29,"(3, 5)","(3, 2)"
30,"(0, 0)","(2, 0)"
31,"(5, 3)","(5, 4)"
32,"(5, 3)","(5, 5)"
33,"(5, 3)","(5, 7)"
34,"(2, 0)","(6, 0)"
