,0,1
0,"(6, 3)","(6, 5)"
1,"(3, 3)","(3, 7)"
2,"(7, 6)","(7, 7)"
3,"(4, 3)","(4, 4)"
4,"(4, 3)","(4, 6)"
5,"(2, 2)","(6, 2)"
6,"(2, 1)","(2, 0)"
7,"(2, 1)","(0, 1)"
8,"(2, 0)","(0, 0)"
9,"(4, 5)","(3, 5)"
10,"(4, 1)","(4, 3)"
11,"(3, 3)","(3, 4)"
12,"(2, 3)","(2, 4)"
13,"(4, 3)","(4, 5)"
14,"(4, 4)","(7, 4)"
15,"(4, 5)","(2, 5)"
16,"(2, 0)","(2, 2)"
17,"(6, 3)","(6, 6)"
18,"(4, 5)","(7, 5)"
19,"(3, 5)","(5, 5)"
20,"(4, 1)","(4, 0)"
21,"(4, 2)","(7, 2)"
22,"(2, 3)","(2, 7)"
23,"(4, 3)","(2, 3)"
24,"(3, 1)","(3, 3)"
25,"(3, 1)","(4, 1)"
26,"(6, 3)","(6, 4)"
27,"(0, 0)","(0, 2)"
28,"(4, 1)","(2, 1)"
29,"(4, 6)","(7, 6)"
30,"(4, 0)","(4, 2)"
31,"(3, 3)","(3, 6)"
32,"(6, 3)","(6, 7)"
33,"(3, 3)","(6, 3)"
34,"(4, 6)","(2, 6)"
35,"(4, 3)","(4, 7)"
