,Tree Type,Threads,Solver,|V|,|E|,|T|,Num Nodes,Max Len,runtime,root,Bound
0,symmetric,None,Gurobi,64,208,8,unbounded,16,128.5969090461731,"(2, 1)",65
1,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.453122138977,"(2, 6)",65
2,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.25562286377,"(2, 2)",68
3,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.225501060486,"(4, 6)",67
4,symmetric,None,Gurobi,64,208,8,unbounded,16,34.00262498855591,"(3, 0)",65
5,symmetric,None,Gurobi,64,208,8,unbounded,16,417.9230091571808,"(5, 1)",65
6,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.023530006409,"(3, 3)",66
7,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.123033046722,"(5, 6)",66
8,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.407338142395,"(5, 3)",66
9,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.174628019333,"(6, 3)",66
10,symmetric,None,Gurobi,64,208,8,unbounded,16,1305.027109861374,"(1, 6)",65
11,symmetric,None,Gurobi,64,208,8,unbounded,16,3.5928289890289307,"(2, 3)",65
12,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.260694980621,"(7, 4)",72
13,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.02857208252,"(5, 2)",65
14,symmetric,None,Gurobi,64,208,8,unbounded,16,3612.3686571121216,"(7, 2)",65
15,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.15263414383,"(3, 4)",66
16,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.02430319786,"(0, 6)",65
17,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.030407905579,"(0, 5)",65
18,symmetric,None,Gurobi,64,208,8,unbounded,16,24.76326608657837,"(1, 7)",64
19,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.236361026764,"(0, 4)",65
20,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.023178100586,"(7, 3)",71
21,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.053378105164,"(5, 7)",71
22,symmetric,None,Gurobi,64,208,8,unbounded,16,27.818277835845947,"(1, 3)",64
23,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.112220048904,"(7, 6)",71
24,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.042828083038,"(4, 5)",67
25,symmetric,None,Gurobi,64,208,8,unbounded,16,7701.690011024475,"(4, 1)",65
26,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.033775806427,"(5, 5)",70
27,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.507745981216,"(0, 1)",75
28,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.019917011261,"(0, 2)",71
29,symmetric,None,Gurobi,64,208,8,unbounded,16,29.12342405319214,"(0, 7)",64
30,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.110414028168,"(1, 1)",76
31,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.400215864182,"(2, 4)",65
32,symmetric,None,Gurobi,64,208,8,unbounded,16,10800.026903867722,"(6, 6)",75
