,Tree Type,Threads,Solver,|V|,|E|,|T|,Num Nodes,Max Len,runtime,root,Bound
0,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0186240673065,"(3, 6)",68
1,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0089120864868,"(7, 4)",73
2,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0185539722443,"(1, 6)",66
3,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0340640544891,"(2, 6)",67
4,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0071940422058,"(4, 1)",66
5,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.014095067978,"(0, 7)",66
6,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0116708278656,"(6, 4)",67
7,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0075550079346,"(2, 0)",77
8,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0108830928802,"(2, 5)",68
9,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0135991573334,"(0, 6)",66
10,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0111908912659,"(5, 1)",66
11,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0104229450226,"(5, 3)",68
12,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.014079093933,"(0, 5)",68
13,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0083429813385,"(4, 3)",68
14,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0100271701813,"(3, 7)",72
15,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0769410133362,"(0, 3)",66
16,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.008910894394,"(0, 1)",77
17,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.009017944336,"(5, 7)",73
18,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0144629478455,"(1, 3)",67
19,symmetric,4,Gurobi,64,208,6,unbounded,16,1323.4892492294312,"(1, 7)",65
20,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0122380256653,"(6, 7)",74
21,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.011491060257,"(2, 1)",66
22,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0196251869202,"(0, 0)",98
23,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0124189853668,"(5, 4)",67
24,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0081570148468,"(5, 6)",69
25,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0068609714508,"(6, 6)",72
26,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0126459598541,"(4, 2)",68
27,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0073080062866,"(0, 4)",66
28,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0078678131104,"(7, 7)",96
29,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0078449249268,"(4, 4)",75
30,symmetric,4,Gurobi,64,208,6,unbounded,16,9.690540075302124,"(2, 3)",65
31,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.007551908493,"(3, 3)",67
32,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0075781345367,"(2, 7)",67
33,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0073828697205,"(2, 2)",69
34,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0108449459076,"(1, 1)",75
35,symmetric,4,Gurobi,64,208,6,unbounded,16,1800.0133111476898,"(5, 5)",73
