,0,1
0,"(0, 0)","(1, 0)"
1,"(1, 0)","(1, 1)"
2,"(1, 0)","(1, 2)"
3,"(1, 1)","(1, 3)"
4,"(1, 1)","(3, 1)"
5,"(3, 1)","(7, 1)"
6,"(1, 2)","(1, 4)"
7,"(1, 2)","(1, 5)"
8,"(1, 2)","(1, 6)"
9,"(4, 5)","(4, 2)"
10,"(6, 5)","(6, 2)"
11,"(7, 4)","(7, 2)"
12,"(3, 7)","(3, 3)"
13,"(5, 6)","(5, 3)"
14,"(6, 5)","(6, 3)"
15,"(7, 6)","(7, 3)"
16,"(1, 4)","(3, 4)"
17,"(3, 4)","(5, 4)"
18,"(3, 4)","(6, 4)"
19,"(3, 4)","(7, 4)"
20,"(5, 4)","(5, 7)"
21,"(1, 5)","(1, 7)"
22,"(1, 5)","(3, 5)"
23,"(3, 5)","(3, 7)"
24,"(3, 5)","(4, 5)"
25,"(3, 5)","(6, 5)"
26,"(6, 5)","(6, 7)"
27,"(6, 5)","(7, 5)"
28,"(1, 6)","(3, 6)"
29,"(3, 6)","(5, 6)"
30,"(3, 6)","(6, 6)"
31,"(3, 6)","(7, 6)"
32,"(7, 6)","(7, 7)"
