,0,1
0,"(3, 1)","(1, 1)"
1,"(3, 1)","(3, 3)"
2,"(7, 1)","(4, 1)"
3,"(7, 3)","(7, 6)"
4,"(7, 1)","(6, 1)"
5,"(4, 3)","(4, 6)"
6,"(4, 5)","(3, 5)"
7,"(4, 3)","(4, 4)"
8,"(6, 6)","(2, 6)"
9,"(7, 3)","(6, 3)"
10,"(7, 1)","(7, 3)"
11,"(7, 3)","(4, 3)"
12,"(6, 3)","(6, 5)"
13,"(4, 3)","(2, 3)"
14,"(5, 3)","(5, 5)"
15,"(7, 6)","(3, 6)"
16,"(4, 4)","(2, 4)"
17,"(4, 3)","(4, 7)"
18,"(7, 3)","(5, 3)"
19,"(6, 3)","(6, 6)"
20,"(1, 1)","(0, 1)"
21,"(7, 0)","(7, 1)"
22,"(5, 3)","(5, 6)"
23,"(4, 0)","(2, 0)"
24,"(6, 3)","(6, 4)"
25,"(7, 3)","(7, 5)"
26,"(7, 3)","(7, 7)"
27,"(7, 1)","(3, 1)"
28,"(7, 1)","(5, 1)"
29,"(4, 3)","(4, 5)"
30,"(4, 1)","(2, 1)"
31,"(7, 0)","(4, 0)"
32,"(7, 3)","(7, 4)"
33,"(3, 3)","(3, 7)"
