,0,1
0,"(0, 4)","(0, 2)"
1,"(0, 2)","(2, 2)"
2,"(6, 4)","(6, 2)"
3,"(7, 5)","(7, 2)"
4,"(0, 7)","(0, 3)"
5,"(0, 7)","(0, 4)"
6,"(0, 4)","(2, 4)"
7,"(1, 7)","(1, 4)"
8,"(1, 4)","(3, 4)"
9,"(2, 4)","(5, 4)"
10,"(4, 7)","(4, 4)"
11,"(6, 7)","(6, 4)"
12,"(7, 7)","(7, 4)"
13,"(1, 5)","(1, 7)"
14,"(3, 5)","(1, 5)"
15,"(2, 7)","(2, 5)"
16,"(7, 5)","(4, 5)"
17,"(7, 7)","(7, 5)"
18,"(0, 7)","(0, 6)"
19,"(3, 7)","(3, 6)"
20,"(3, 6)","(4, 6)"
21,"(3, 6)","(5, 6)"
22,"(3, 6)","(7, 6)"
23,"(6, 7)","(6, 6)"
24,"(1, 7)","(0, 7)"
25,"(0, 7)","(2, 7)"
26,"(1, 7)","(3, 7)"
27,"(3, 7)","(4, 7)"
28,"(3, 7)","(6, 7)"
29,"(3, 7)","(7, 7)"
