,0,1
0,"(1, 5)","(0, 5)"
1,"(3, 6)","(1, 6)"
2,"(3, 4)","(4, 4)"
3,"(1, 2)","(0, 2)"
4,"(5, 0)","(5, 1)"
5,"(3, 0)","(6, 0)"
6,"(3, 2)","(3, 5)"
7,"(3, 0)","(3, 1)"
8,"(2, 2)","(2, 4)"
9,"(7, 2)","(7, 0)"
10,"(4, 4)","(4, 2)"
11,"(1, 1)","(0, 1)"
12,"(3, 2)","(5, 2)"
13,"(3, 2)","(7, 2)"
14,"(6, 2)","(2, 2)"
15,"(3, 4)","(3, 2)"
16,"(3, 2)","(6, 2)"
17,"(2, 2)","(2, 5)"
18,"(7, 0)","(4, 0)"
19,"(3, 0)","(5, 0)"
20,"(6, 0)","(6, 1)"
21,"(3, 0)","(1, 0)"
22,"(5, 0)","(2, 0)"
23,"(7, 0)","(7, 1)"
24,"(1, 0)","(0, 0)"
25,"(3, 2)","(3, 6)"
26,"(3, 2)","(1, 2)"
27,"(1, 0)","(1, 1)"
28,"(3, 5)","(1, 5)"
29,"(1, 6)","(0, 6)"
30,"(3, 2)","(3, 0)"
31,"(3, 5)","(7, 5)"
32,"(6, 2)","(6, 5)"
33,"(6, 2)","(6, 6)"
